game_date,player_name,diff_rolling_OBA,rank,estimation_type
2024-04-01,logan o'hoppe,-90.75,1,Overestimated
2024-04-01,colt keith,-80.6,2,Overestimated
2024-04-01,yainer diaz,-79.8,3,Overestimated
2024-04-01,freddie freeman,-67.81,4,Overestimated
2024-04-01,jake mccarthy,-57.77,5,Overestimated
2024-04-02,willi castro,-44.32,1,Overestimated
2024-04-02,isaac paredes,-42.42,2,Overestimated
2024-04-02,garrett cooper,-39.9,3,Overestimated
2024-04-02,mookie betts,-38.71,4,Overestimated
2024-04-02,jake mccarthy,-37.45,5,Overestimated
2024-04-03,jake cave,-60.1,1,Overestimated
2024-04-03,ben rortvedt,-58.87,2,Overestimated
2024-04-03,eguy rosario,-42.86,3,Overestimated
2024-04-03,luke raley,-42.8,4,Overestimated
2024-04-03,miles mastrobuoni,-35.54,5,Overestimated
2024-04-04,luis garcía,-23.06,1,Overestimated
2024-04-04,alex kirilloff,-23.0,2,Overestimated
2024-04-04,bo naylor,-21.32,3,Overestimated
2024-04-04,colt keith,-17.57,4,Overestimated
2024-04-04,trey lipscomb,-16.85,5,Overestimated
2024-04-05,samad taylor,-36.02,1,Overestimated
2024-04-05,jarred kelenic,-33.03,2,Overestimated
2024-04-05,travis jankowski,-31.6,3,Overestimated
2024-04-05,jake cave,-30.59,4,Overestimated
2024-04-05,paul dejong,-27.04,5,Overestimated
2024-04-06,nasim nuñez,-47.25,1,Overestimated
2024-04-06,miguel rojas,-31.87,2,Overestimated
2024-04-06,jarred kelenic,-30.48,3,Overestimated
2024-04-06,luis rengifo,-27.56,4,Overestimated
2024-04-06,paul dejong,-25.43,5,Overestimated
2024-04-07,jake cave,-36.48,1,Overestimated
2024-04-07,edmundo sosa,-31.67,2,Overestimated
2024-04-07,justin foscue,-31.55,3,Overestimated
2024-04-07,luis rengifo,-24.29,4,Overestimated
2024-04-07,isaac paredes,-23.31,5,Overestimated
2024-04-08,garrett cooper,-31.98,1,Overestimated
2024-04-08,eguy rosario,-23.74,2,Overestimated
2024-04-08,luis rengifo,-22.38,3,Overestimated
2024-04-08,isaac paredes,-21.65,4,Overestimated
2024-04-08,garrett stubbs,-21.54,5,Overestimated
2024-04-09,jake cave,-30.56,1,Overestimated
2024-04-09,garrett cooper,-28.69,2,Overestimated
2024-04-09,omar narváez,-25.35,3,Overestimated
2024-04-09,isaac paredes,-24.88,4,Overestimated
2024-04-09,eguy rosario,-20.7,5,Overestimated
2024-04-10,tyler fitzgerald,-27.92,1,Overestimated
2024-04-10,isaac paredes,-21.59,2,Overestimated
2024-04-10,jake cave,-20.09,3,Overestimated
2024-04-10,elly de la cruz,-19.17,4,Overestimated
2024-04-10,eguy rosario,-18.5,5,Overestimated
2024-04-11,connor wong,-14.05,1,Overestimated
2024-04-11,víctor caratini,-13.46,2,Overestimated
2024-04-11,yainer diaz,-12.43,3,Overestimated
2024-04-11,travis jankowski,-12.39,4,Overestimated
2024-04-11,austin riley,-10.7,5,Overestimated
2024-04-12,isaac paredes,-17.61,1,Overestimated
2024-04-12,jake cave,-17.55,2,Overestimated
2024-04-12,eguy rosario,-16.37,3,Overestimated
2024-04-12,joey ortiz,-16.27,4,Overestimated
2024-04-12,elly de la cruz,-16.11,5,Overestimated
2024-04-13,wenceel pérez,-23.32,1,Overestimated
2024-04-13,joey ortiz,-17.44,2,Overestimated
2024-04-13,omar narváez,-15.87,3,Overestimated
2024-04-13,isaac paredes,-14.04,4,Overestimated
2024-04-13,elly de la cruz,-13.98,5,Overestimated
2024-04-14,tyler fitzgerald,-30.07,1,Overestimated
2024-04-14,isaac paredes,-16.29,2,Overestimated
2024-04-14,joey ortiz,-16.11,3,Overestimated
2024-04-14,jake mccarthy,-14.37,4,Overestimated
2024-04-14,josé azocar,-13.26,5,Overestimated
2024-04-15,otto lopez,-25.44,1,Overestimated
2024-04-15,wenceel pérez,-22.76,2,Overestimated
2024-04-15,esteury ruiz,-20.2,3,Overestimated
2024-04-15,eguy rosario,-16.42,4,Overestimated
2024-04-15,jake fraley,-15.96,5,Overestimated
2024-04-16,alexander canario,-33.15,1,Overestimated
2024-04-16,luis guillorme,-32.82,2,Overestimated
2024-04-16,tyler fitzgerald,-21.85,3,Overestimated
2024-04-16,jake fraley,-18.45,4,Overestimated
2024-04-16,eguy rosario,-14.83,5,Overestimated
2024-04-17,matthew batten,-59.91,1,Overestimated
2024-04-17,luis guillorme,-17.41,2,Overestimated
2024-04-17,jake fraley,-17.26,3,Overestimated
2024-04-17,otto lopez,-16.14,4,Overestimated
2024-04-17,connor wong,-15.13,5,Overestimated
2024-04-18,connor wong,-13.21,1,Overestimated
2024-04-18,triston casas,-9.37,2,Overestimated
2024-04-18,matt thaiss,-9.29,3,Overestimated
2024-04-18,jake mccarthy,-9.0,4,Overestimated
2024-04-18,amed rosario,-7.12,5,Overestimated
2024-04-19,michael massey,-18.84,1,Overestimated
2024-04-19,otto lopez,-16.1,2,Overestimated
2024-04-19,eguy rosario,-15.21,3,Overestimated
2024-04-19,jake fraley,-14.71,4,Overestimated
2024-04-19,wenceel pérez,-13.58,5,Overestimated
2024-04-20,josé azocar,-16.13,1,Overestimated
2024-04-20,eguy rosario,-15.64,2,Overestimated
2024-04-20,jake cave,-15.42,3,Overestimated
2024-04-20,wenceel pérez,-15.35,4,Overestimated
2024-04-20,blaze alexander,-13.4,5,Overestimated
2024-04-21,josé azocar,-15.32,1,Overestimated
2024-04-21,sean bouchard,-15.15,2,Overestimated
2024-04-21,kyle mccann,-12.99,3,Overestimated
2024-04-21,blaze alexander,-12.94,4,Overestimated
2024-04-21,wilyer abreu,-11.95,5,Overestimated
2024-04-22,kody clemens,-43.12,1,Overestimated
2024-04-22,eguy rosario,-17.32,2,Overestimated
2024-04-22,sean bouchard,-15.82,3,Overestimated
2024-04-22,josé azocar,-13.39,4,Overestimated
2024-04-22,daulton varsho,-10.88,5,Overestimated
2024-04-23,matt mervis,-28.97,1,Overestimated
2024-04-23,eguy rosario,-14.44,2,Overestimated
2024-04-23,wenceel pérez,-13.24,3,Overestimated
2024-04-23,sean bouchard,-13.05,4,Overestimated
2024-04-23,wilyer abreu,-12.79,5,Overestimated
2024-04-24,wilyer abreu,-13.34,1,Overestimated
2024-04-24,matt mervis,-11.91,2,Overestimated
2024-04-24,daulton varsho,-11.7,3,Overestimated
2024-04-24,blaze alexander,-11.48,4,Overestimated
2024-04-24,eguy rosario,-11.43,5,Overestimated
2024-04-25,wilyer abreu,-12.22,1,Overestimated
2024-04-25,daulton varsho,-11.92,2,Overestimated
2024-04-25,connor wong,-11.0,3,Overestimated
2024-04-25,ryan jeffers,-10.92,4,Overestimated
2024-04-25,eguy rosario,-9.9,5,Overestimated
2024-04-26,daulton varsho,-11.61,1,Overestimated
2024-04-26,estevan florial,-10.8,2,Overestimated
2024-04-26,connor wong,-10.71,3,Overestimated
2024-04-26,ryan jeffers,-10.07,4,Overestimated
2024-04-26,j. d. martinez,-10.06,5,Overestimated
2024-04-27,mark vientos,-57.53,1,Overestimated
2024-04-27,j. d. martinez,-21.65,2,Overestimated
2024-04-27,nasim nuñez,-16.17,3,Overestimated
2024-04-27,jahmai jones,-14.95,4,Overestimated
2024-04-27,jake fraley,-12.1,5,Overestimated
2024-04-28,ryan mckenna,-65.0,1,Overestimated
2024-04-28,leo rivas,-34.85,2,Overestimated
2024-04-28,mark vientos,-32.83,3,Overestimated
2024-04-28,j. d. martinez,-14.82,4,Overestimated
2024-04-28,kyle mccann,-14.48,5,Overestimated
2024-04-29,alex call,-18.2,1,Overestimated
2024-04-29,blaze alexander,-11.17,2,Overestimated
2024-04-29,j. d. martinez,-10.23,3,Overestimated
2024-04-29,ryan jeffers,-9.94,4,Overestimated
2024-04-29,jake fraley,-9.71,5,Overestimated
2024-04-30,dane myers,-11.97,1,Overestimated
2024-04-30,wilyer abreu,-11.41,2,Overestimated
2024-04-30,jordan beck,-10.93,3,Overestimated
2024-04-30,blaze alexander,-10.63,4,Overestimated
2024-04-30,wenceel pérez,-10.62,5,Overestimated
2024-05-01,tyler black,-21.08,1,Overestimated
2024-05-01,alex call,-20.26,2,Overestimated
2024-05-01,dane myers,-15.34,3,Overestimated
2024-05-01,wilyer abreu,-11.79,4,Overestimated
2024-05-01,ryan jeffers,-10.37,5,Overestimated
2024-05-02,ryan mckenna,-34.9,1,Overestimated
2024-05-02,alex call,-17.07,2,Overestimated
2024-05-02,jahmai jones,-11.96,3,Overestimated
2024-05-02,wilyer abreu,-11.17,4,Overestimated
2024-05-02,connor wong,-9.86,5,Overestimated
2024-05-03,willie calhoun,-44.72,1,Overestimated
2024-05-03,alex call,-14.4,2,Overestimated
2024-05-03,tyler black,-12.59,3,Overestimated
2024-05-03,wilyer abreu,-10.85,4,Overestimated
2024-05-03,ryan jeffers,-10.03,5,Overestimated
2024-05-04,blake sabol,-32.89,1,Overestimated
2024-05-04,kody clemens,-28.06,2,Overestimated
2024-05-04,willie calhoun,-15.0,3,Overestimated
2024-05-04,alex call,-13.87,4,Overestimated
2024-05-04,wilyer abreu,-10.92,5,Overestimated
2024-05-05,ryan mckenna,-22.12,1,Overestimated
2024-05-05,blake sabol,-17.87,2,Overestimated
2024-05-05,jakson reetz,-15.7,3,Overestimated
2024-05-05,brett harris,-15.18,4,Overestimated
2024-05-05,wilyer abreu,-11.0,5,Overestimated
2024-05-06,jonny deluca,-12.6,1,Overestimated
2024-05-06,donovan solano,-11.0,2,Overestimated
2024-05-06,amed rosario,-10.15,3,Overestimated
2024-05-06,max kepler,-9.25,4,Overestimated
2024-05-06,cole tucker,-8.76,5,Overestimated
2024-05-07,kody clemens,-20.38,1,Overestimated
2024-05-07,jonny deluca,-17.75,2,Overestimated
2024-05-07,blake sabol,-11.42,3,Overestimated
2024-05-07,ryan jeffers,-10.38,4,Overestimated
2024-05-07,wilyer abreu,-10.19,5,Overestimated
2024-05-08,kody clemens,-26.12,1,Overestimated
2024-05-08,blake sabol,-20.72,2,Overestimated
2024-05-08,jonny deluca,-14.39,3,Overestimated
2024-05-08,ryan jeffers,-11.63,4,Overestimated
2024-05-08,max kepler,-10.57,5,Overestimated
2024-05-09,leo rivas,-36.08,1,Overestimated
2024-05-09,blake sabol,-16.84,2,Overestimated
2024-05-09,ryan jeffers,-11.18,3,Overestimated
2024-05-09,david fry,-10.54,4,Overestimated
2024-05-09,garrett hampson,-10.4,5,Overestimated
2024-05-10,kody clemens,-21.87,1,Overestimated
2024-05-10,david fry,-11.21,2,Overestimated
2024-05-10,wilyer abreu,-11.17,3,Overestimated
2024-05-10,ryan jeffers,-10.99,4,Overestimated
2024-05-10,blake sabol,-10.71,5,Overestimated
2024-05-11,matt carpenter,-32.55,1,Overestimated
2024-05-11,garrett hampson,-11.89,2,Overestimated
2024-05-11,wilyer abreu,-10.97,3,Overestimated
2024-05-11,max kepler,-10.96,4,Overestimated
2024-05-11,david fry,-10.49,5,Overestimated
2024-05-12,akil baddoo,-98.9,1,Overestimated
2024-05-12,matt carpenter,-20.46,2,Overestimated
2024-05-12,kody clemens,-19.37,3,Overestimated
2024-05-12,max kepler,-11.91,4,Overestimated
2024-05-12,david fry,-10.83,5,Overestimated
2024-05-13,kody clemens,-18.53,1,Overestimated
2024-05-13,matt carpenter,-15.53,2,Overestimated
2024-05-13,david fry,-10.42,3,Overestimated
2024-05-13,wilyer abreu,-9.54,4,Overestimated
2024-05-13,amed rosario,-9.54,5,Overestimated
2024-05-14,max kepler,-11.75,1,Overestimated
2024-05-14,kody clemens,-10.14,2,Overestimated
2024-05-14,garrett hampson,-9.96,3,Overestimated
2024-05-14,amed rosario,-9.75,4,Overestimated
2024-05-14,david fry,-9.41,5,Overestimated
2024-05-15,max kepler,-11.27,1,Overestimated
2024-05-15,nasim nuñez,-9.85,2,Overestimated
2024-05-15,kevin pillar,-8.52,3,Overestimated
2024-05-15,connor wong,-7.76,4,Overestimated
2024-05-15,josh smith,-7.6,5,Overestimated
2024-05-16,max kepler,-10.28,1,Overestimated
2024-05-16,isaac paredes,-8.07,2,Overestimated
2024-05-16,wilyer abreu,-6.99,3,Overestimated
2024-05-16,connor joe,-6.75,4,Overestimated
2024-05-16,rob refsnyder,-6.71,5,Overestimated
