game_date,player_name,diff_rolling_OBA,rank,estimation_type
2024-04-01,jack suwinski,102.33,1,Underestimated
2024-04-01,will brennan,79.22,2,Underestimated
2024-04-01,ty france,74.37,3,Underestimated
2024-04-01,amed rosario,65.22,4,Underestimated
2024-04-01,ramón urías,59.56,5,Underestimated
2024-04-02,iván herrera,107.5,1,Underestimated
2024-04-02,will brennan,42.01,2,Underestimated
2024-04-02,amed rosario,38.68,3,Underestimated
2024-04-02,nick martini,35.89,4,Underestimated
2024-04-02,miguel sanó,34.44,5,Underestimated
2024-04-03,ramón urías,34.16,1,Underestimated
2024-04-03,amed rosario,30.76,2,Underestimated
2024-04-03,jake cronenworth,30.61,3,Underestimated
2024-04-03,jack suwinski,30.47,4,Underestimated
2024-04-03,iván herrera,30.12,5,Underestimated
2024-04-04,matt vierling,34.88,1,Underestimated
2024-04-04,spencer torkelson,26.05,2,Underestimated
2024-04-04,korey lee,22.43,3,Underestimated
2024-04-04,christian vázquez,20.96,4,Underestimated
2024-04-04,brett baty,20.12,5,Underestimated
2024-04-05,elehuris montero,30.5,1,Underestimated
2024-04-05,james outman,26.73,2,Underestimated
2024-04-05,adam duvall,26.39,3,Underestimated
2024-04-05,anthony rendon,23.67,4,Underestimated
2024-04-05,ramón urías,21.58,5,Underestimated
2024-04-06,austin wells,42.55,1,Underestimated
2024-04-06,edward olivares,26.55,2,Underestimated
2024-04-06,enrique hernández,18.77,3,Underestimated
2024-04-06,james outman,16.81,4,Underestimated
2024-04-06,bobby witt,16.37,5,Underestimated
2024-04-07,bubba thompson,37.72,1,Underestimated
2024-04-07,austin wells,37.08,2,Underestimated
2024-04-07,christian bethancourt,24.49,3,Underestimated
2024-04-07,austin slater,23.9,4,Underestimated
2024-04-07,dairon blanco,21.46,5,Underestimated
2024-04-08,austin martin,46.08,1,Underestimated
2024-04-08,christian vázquez,19.05,2,Underestimated
2024-04-08,miguel amaya,16.45,3,Underestimated
2024-04-08,kerry carpenter,16.45,4,Underestimated
2024-04-08,elehuris montero,16.11,5,Underestimated
2024-04-09,austin wells,32.3,1,Underestimated
2024-04-09,christian bethancourt,22.44,2,Underestimated
2024-04-09,edward olivares,16.82,3,Underestimated
2024-04-09,jo adell,15.8,4,Underestimated
2024-04-09,bobby witt,15.17,5,Underestimated
2024-04-10,dairon blanco,25.27,1,Underestimated
2024-04-10,christian vázquez,18.78,2,Underestimated
2024-04-10,romy gonzalez,18.05,3,Underestimated
2024-04-10,tom murphy,15.92,4,Underestimated
2024-04-10,bobby witt,15.05,5,Underestimated
2024-04-11,forrest wall,42.4,1,Underestimated
2024-04-11,dairon blanco,32.5,2,Underestimated
2024-04-11,adam duvall,19.75,3,Underestimated
2024-04-11,lawrence butler,15.65,4,Underestimated
2024-04-11,ezequiel duran,13.07,5,Underestimated
2024-04-12,andruw monasterio,26.24,1,Underestimated
2024-04-12,christian vázquez,17.69,2,Underestimated
2024-04-12,lawrence butler,17.31,3,Underestimated
2024-04-12,adam duvall,15.24,4,Underestimated
2024-04-12,austin hays,14.46,5,Underestimated
2024-04-13,trent grisham,35.85,1,Underestimated
2024-04-13,austin wells,31.03,2,Underestimated
2024-04-13,dairon blanco,28.45,3,Underestimated
2024-04-13,tom murphy,20.82,4,Underestimated
2024-04-13,christian bethancourt,19.79,5,Underestimated
2024-04-14,luke raley,17.95,1,Underestimated
2024-04-14,austin slater,15.75,2,Underestimated
2024-04-14,tom murphy,15.59,3,Underestimated
2024-04-14,lawrence butler,14.48,4,Underestimated
2024-04-14,adam duvall,13.07,5,Underestimated
2024-04-15,austin wells,29.18,1,Underestimated
2024-04-15,trent grisham,23.55,2,Underestimated
2024-04-15,austin hays,17.17,3,Underestimated
2024-04-15,lawrence butler,13.42,4,Underestimated
2024-04-15,adam duvall,12.49,5,Underestimated
2024-04-16,lawrence butler,14.65,1,Underestimated
2024-04-16,austin slater,13.98,2,Underestimated
2024-04-16,andrew knizner,12.59,3,Underestimated
2024-04-16,randy arozarena,12.35,4,Underestimated
2024-04-16,tom murphy,11.85,5,Underestimated
2024-04-17,jhonny pereda,43.95,1,Underestimated
2024-04-17,davis wendzel,29.88,2,Underestimated
2024-04-17,austin wells,28.5,3,Underestimated
2024-04-17,austin hays,17.26,4,Underestimated
2024-04-17,esteury ruiz,16.23,5,Underestimated
2024-04-18,jace peterson,12.8,1,Underestimated
2024-04-18,carson kelly,11.94,2,Underestimated
2024-04-18,randy arozarena,11.24,3,Underestimated
2024-04-18,enmanuel valdez,9.24,4,Underestimated
2024-04-18,javier báez,7.72,5,Underestimated
2024-04-19,davis wendzel,29.15,1,Underestimated
2024-04-19,austin hays,16.52,2,Underestimated
2024-04-19,lawrence butler,16.4,3,Underestimated
2024-04-19,edward olivares,12.44,4,Underestimated
2024-04-19,austin slater,11.83,5,Underestimated
2024-04-20,nathaniel lowe,28.22,1,Underestimated
2024-04-20,jhonny pereda,27.91,2,Underestimated
2024-04-20,austin wells,26.27,3,Underestimated
2024-04-20,dairon blanco,21.07,4,Underestimated
2024-04-20,patrick wisdom,19.41,5,Underestimated
2024-04-21,andrew knizner,18.4,1,Underestimated
2024-04-21,pavin smith,18.31,2,Underestimated
2024-04-21,lawrence butler,15.63,3,Underestimated
2024-04-21,jake rogers,12.95,4,Underestimated
2024-04-21,ryan o'hearn,11.44,5,Underestimated
2024-04-22,dairon blanco,18.07,1,Underestimated
2024-04-22,lawrence butler,15.07,2,Underestimated
2024-04-22,austin slater,12.2,3,Underestimated
2024-04-22,jake rogers,11.46,4,Underestimated
2024-04-22,lars nootbaar,10.73,5,Underestimated
2024-04-23,austin wells,24.2,1,Underestimated
2024-04-23,pedro pagés,20.6,2,Underestimated
2024-04-23,buddy kennedy,19.39,3,Underestimated
2024-04-23,dairon blanco,16.76,4,Underestimated
2024-04-23,lawrence butler,13.23,5,Underestimated
2024-04-24,austin wells,21.58,1,Underestimated
