game_date,batter,first_name,last_name,estimated_woba_using_speedangle,woba_value,woba_denom
2024-03-20,660271,Shohei,Ohtani,0.32433287118847337,0.31952477396970724,1
2024-03-20,641343,Max,Muncy,0.2715582977187495,0.3086745921734458,3
2024-03-20,624413,Mookie,Betts,0.3246211779711531,0.2959853455002375,2
2024-03-20,665487,Trea,Turner,0.29276824659332573,0.2717042661363553,4
2024-03-20,514888,Mike,Trout,0.30618899446050674,0.3200252167981459,2
2024-03-20,592450,Marcus,Semien,0.2993060139424524,0.28827088717785565,4
2024-03-20,605141,Manny,Machado,0.20923361741364044,0.2700431095398917,4
2024-03-20,621043,Juan,Soto,0.2949154116596879,0.2787016235704852,4
2024-03-20,545361,Mike,Zunino,0.30236191094297704,0.3276583369883677,2
2024-03-20,543939,Kyle,Tucker,0.3229362247706858,0.33499024688495627,1
2024-03-21,660271,Shohei,Ohtani,0.3097405069357507,0.35348579428424837,1
2024-03-21,641343,Max,Muncy,0.26747941756872035,0.30257691982151413,4
2024-03-21,624413,Mookie,Betts,0.2580588590900418,0.261220202839033,4
2024-03-21,665487,Trea,Turner,0.2999129117530767,0.2652846569279641,2
2024-03-21,514888,Mike,Trout,0.3171824258385874,0.35088405742035667,2
2024-03-21,592450,Marcus,Semien,0.3278757503796193,0.37065474811588106,2
2024-03-21,605141,Manny,Machado,0.3125339595057691,0.3327653427115328,3
2024-03-21,621043,Juan,Soto,0.22483457241540472,0.24848551985183218,2
2024-03-21,545361,Mike,Zunino,0.22527008219037056,0.23947905535848804,2
2024-03-21,543939,Kyle,Tucker,0.31957908065031326,0.3385304114794475,4
2024-03-22,660271,Shohei,Ohtani,0.3487146405966699,0.31477076667223836,2
2024-03-22,641343,Max,Muncy,0.34154721697588575,0.35358678238282415,3
2024-03-22,624413,Mookie,Betts,0.3061786160041936,0.29165965857117987,2
2024-03-22,665487,Trea,Turner,0.4115182287209283,0.4063506941265549,2
2024-03-22,514888,Mike,Trout,0.328856873834964,0.3389277486572307,3
2024-03-22,592450,Marcus,Semien,0.24119234767118733,0.2422381048922447,1
2024-03-22,605141,Manny,Machado,0.2974570848785318,0.29757450649379497,2
2024-03-22,621043,Juan,Soto,0.26376135204216755,0.26284314672462883,3
2024-03-22,545361,Mike,Zunino,0.23961560715168673,0.2745564466364125,2
2024-03-22,543939,Kyle,Tucker,0.32329402510328253,0.3215926054763887,4
2024-03-23,660271,Shohei,Ohtani,0.24347669546507794,0.26516334508879624,4
2024-03-23,641343,Max,Muncy,0.15979951066087203,0.20840004722999592,1
2024-03-23,624413,Mookie,Betts,0.2761730979086469,0.3083571300993157,4
2024-03-23,665487,Trea,Turner,0.35545264420435135,0.34880426066176734,4
2024-03-23,514888,Mike,Trout,0.19063884726578817,0.20895431030860587,4
2024-03-23,592450,Marcus,Semien,0.382221784599764,0.35281517198462725,3
